,PSAVERT,gdp_change,pconsum_change,psave_change,cpi,unrate,dff,SP500,SP500_return,BAMLCC0A0CMTRIV,Bond_return,SOFR,SP500_Prev_Month_Return,Bond_Prev_Month_Return,optimal_stock_w
2019-04-01,7.6,0.004480508665371197,0.0029055486153024557,-0.03797468354430389,2.82946232379089,3.7,2.41,2867.19,0.01156858594411525,2974.6,-0.003947910353302775,2.46,0.010953422097307541,0.026458972781423062,0.16973996518089776
2019-05-01,7.3,0.004972955805367718,0.004429671098670429,-0.03947368421052633,2.5585351456762795,3.6,2.45,2923.73,-0.007502130129708795,3004.59,0.0004128722926066697,2.54,0.027427551016849128,0.009665165064210335,0.17388597105471956
2019-06-01,7.1,0.0049483478900012035,0.0038597395720845196,-0.0273972602739726,2.9631049949516894,3.6,2.4,2752.06,-0.013195355808466647,3046.43,0.0038156745802921943,2.49,-0.058716092115209007,0.013925360864543768,0.0
2019-07-01,6.8,0.004923982312514674,0.006058839451164921,-0.04225352112676051,3.2008888117851098,3.7,2.39,2964.33,0.007672277820080398,3113.58,-0.0007253260757934532,2.42,0.07189418644901546,0.019457722723361437,0.15065999379128828
2019-08-01,6.9,0.003316054993227846,0.004290838852097245,0.014705882352941346,2.6257566309874503,3.6,2.14,2953.56,-0.008998852495319398,3158.5,0.006879359371612992,2.19,0.005414376941838439,0.007496194091688668,0.18178100697146368
2019-09-01,7.0,0.0033050951160653597,0.0022255498619334624,0.014492753623188248,2.5044028464577406,3.5,2.13,2926.46,0.0006428273461489553,3232.08,0.000953855682873872,2.16,-0.009175368030444608,0.02329586829191066,0.33142126313876075
2019-10-01,7.1,0.0032942074471202787,0.001836799034995007,0.014285714285714235,2.67072730886815,3.6,1.88,2940.25,-0.012258376613342059,3218.16,0.0018647829971638608,1.88,0.024247575070451166,-0.007980210067294435,0.1018769798680626
2019-11-01,6.9,-0.0031240287277511936,0.006403327541149695,-0.028169014084506894,3.2778581013518595,3.6,1.57,3066.91,0.009662360578885698,3226.78,-0.0015594927935342895,1.58,0.03309582518493315,0.004244661545728112,0.0
2019-12-01,6.2,-0.003133818867922078,0.004336890762014711,-0.10144927536231885,2.52541708194376,3.6,1.56,3140.98,-0.004011250527170329,3238.49,-0.00017906374360554533,1.65,0.024151344512881145,0.00362900476636141,0.18348862080528508
2020-01-01,7.0,-0.0031436705620440097,0.004703955383490888,0.12903225806451601,3.61068769265118,3.6,1.55,3230.78,0.002946024729223451,3249.02,-0.0012787487934882158,1.55,0.037544919987025915,0.007601154904155916,0.3014426568757193
2020-02-01,7.5,-0.027495110647840826,-0.0007073422121622874,0.0714285714285714,2.88679127209464,3.5,1.59,3225.52,-0.017705852615678808,3326.21,0.0012371692604076223,1.6,-0.009923722700553972,0.021531893983600003,0.17813690485135322
2020-03-01,12.4,-0.028272465206994446,-0.0689843465598835,0.6533333333333333,2.96074316871415,4.4,1.58,2954.22,-0.008238327357692588,3368.46,0.004667726474211209,1.6,-0.09070706573261278,0.012339965137945441,0.022536804537883662
2020-04-01,32.0,-0.02909505411207358,-0.11412331197277437,1.5806451612903225,2.1808665290540294,14.8,0.06,2470.5,-0.04414239782712159,3122.7,0.0017258414278931156,0.01,-0.1636253612190678,-0.07520425297108713,0.09210833530487465
2020-05-01,22.8,0.02924618416658631,0.08315078794219577,-0.2875,2.89879142211011,13.2,0.05,2830.71,-0.028059043479156554,3275.74,-0.0018130902065705001,0.03,0.17888281724347288,0.05091427290485795,0.15839593707157315
2020-06-01,18.4,0.02841514947200685,0.05954707697880268,-0.19298245614035092,1.83456486942399,11.0,0.05,3055.73,0.0037512605483673855,3337.7,-0.0003055063018162496,0.06,0.07545810061786606,0.019226190112768382,0.0
2020-07-01,17.8,0.02763003781750517,0.0187311264315424,-0.032608695652173836,3.4431359083352895,10.2,0.08,3115.86,0.005022110834792981,3409.53,0.0009335505746621564,0.11,0.014582440202504765,0.020568055846840627,0.11416805989852175
2020-08-01,13.9,0.005906140274705152,0.01056362644891573,-0.2191011235955056,2.6071155139936,8.4,0.1,3271.12,0.007670459796317086,3513.67,0.0005695295970293834,0.1,0.049828939682784235,0.030543799291984586,0.0
2020-09-01,13.1,0.005871462593013188,0.015254342818006306,-0.05755395683453246,1.14434137828776,7.8,0.09,3526.65,0.00752504778148233,3484.07,0.003152784815958043,0.09,0.06243531100797961,-0.010064330769033458,0.22387536970507418
2020-10-01,12.6,0.005837189751737526,0.0034479469043433575,-0.03816793893129766,1.82057568973273,6.9,0.09,3380.8,0.005292893250074426,3465.7,0.0005052035970496416,0.08,-0.04640381098209356,-0.00577485526984256,0.20921652533195767
2020-11-01,11.8,0.008881722602203768,-0.0014328398750509397,-0.06349206349206338,1.45986298697687,6.7,0.09,3269.96,-0.012129506270184387,3457.93,-0.0013602338100409117,0.09,-0.032785139611926195,-0.002241971318925451,0.291754160792798
2020-12-01,11.8,0.008803532072416687,0.008323756026902496,0.0,1.44368888695681,6.7,0.09,3662.45,0.011271167954760575,3534.57,-0.0043997645196454105,0.08,0.09406870800908695,0.025195354236573486,0.46262085232312194
2021-01-01,19.2,0.008726706234197579,0.01714405185030321,0.6271186440677965,1.2061813435216202,6.4,0.09,3756.07,0.00643883774021714,3567.63,0.0016649352837128095,0.07,0.025562123714999663,0.009353330108047064,0.06658457705971836
2021-02-01,12.6,0.010476151677777157,-0.0064383516228492255,-0.34375,2.78567284418365,6.2,0.08,3773.86,0.01605173602136656,3527.06,0.0009308186095613458,0.07,0.0036723278342993826,-0.011249007399259714,0.0
2021-03-01,25.9,0.010367539758739275,0.04858386054830355,1.0555555555555554,2.18812333278768,6.1,0.07,3901.82,0.023790719336683086,3455.03,0.0003271663916153411,0.02,0.009881129665647359,-0.020742488077889143,0.0
2021-04-01,12.0,0.010261156807566119,0.01289427458567749,-0.5366795366795367,2.8980231665139504,6.1,0.07,4019.87,0.011825144919693331,3430.06,0.006688639291867027,0.01,0.01821457678724281,-0.013823324254782166,0.5172212945932353
2021-05-01,9.6,0.007889843953741149,0.0022306000628338207,-0.20000000000000007,3.3730910133644,5.8,0.05,4181.17,-0.007194637501869883,3447.81,0.0005571855166590645,0.01,0.04012567570593073,0.005174836591779641,0.0
2021-06-01,8.4,0.007828081611370274,0.014613961944766718,-0.12499999999999989,3.663084885277,5.9,0.06,4202.04,-0.0004923753184382651,3466.91,-0.0012876723378023591,0.01,0.002730963159426114,0.004697335860961216,0.29351352480489135
2021-07-01,9.2,0.007767278719654547,0.002465458859586267,0.09523809523809512,3.1200841239386,5.4,0.1,4319.94,0.005221640488656032,3522.2,-0.0021587503045481515,0.05,0.02271753719621894,0.01814584168611244,0.2714018995389363
2021-08-01,8.4,0.011914378977346152,0.010299873640089885,-0.08695652173913038,4.1119800164652895,5.1,0.07,4395.26,-0.005406016994218166,3572.44,0.0015587852689185056,0.05,0.017435427343898358,0.014263812389983643,1.0
2021-09-01,7.2,0.0117740979126979,0.005301819335472802,-0.1428571428571429,5.377588744797009,4.7,0.08,4524.09,0.0003117620525883158,3567.26,0.0005104559325077584,0.05,0.030890143053820873,-0.0053811584136043145,0.2943606263579536
2021-10-01,6.6,0.011637081772490676,0.013139129115460557,-0.08333333333333337,6.9144991502176,4.5,0.08,4357.04,0.011491477734391298,3541.65,0.003940188505421327,0.05,-0.047865979677681025,-0.011075727589242246,0.6028628281192648
2021-11-01,6.1,0.005898646964984433,0.009284772972325328,-0.0757575757575758,5.4362077706412,4.2,0.08,4613.67,0.0018000686154020507,3530.36,-0.0016627830690223444,0.05,0.05699741108642575,-0.0015275366001723523,0.6636967898311181
2021-12-01,6.0,0.005864056963175823,0.003353314736779689,-0.016393442622950727,4.9315583293090715,3.9,0.08,4513.04,-0.011815195971097037,3538.77,-0.00029097689134982563,0.05,-0.01011559127549222,0.002673948265899284,0.5463491968898123
2022-01-01,3.6,0.0058298702718142525,0.006642808553429358,-0.4,6.4077835826954495,4.0,0.07,4766.18,-0.0026262207741385435,3533.73,0.002251977570984165,0.05,0.05609079467498623,-0.0014242236709365308,0.11481954672273402
2022-02-01,3.6,0.007803404132271874,0.006951544853036173,0.0,6.3180865281748,3.8,0.08,4546.54,0.006862951356977565,3422.75,-0.00016358436717678337,0.05,-0.058585736444451864,-0.02208186573197246,0.09089177605316799
2022-03-01,2.7,0.007742982510553054,0.013731245732693242,-0.25,5.596234775545581,3.7,0.08,4306.26,-0.015473463284818578,3370.86,0.006632523554268133,0.05,-0.037962934451253094,-0.021649258637060798,0.0
2022-04-01,2.2,0.007683489386612452,0.007046064220500137,-0.18518518518518512,6.633146057404368,3.7,0.33,4545.86,0.0034102873691344016,3257.68,-0.0007974775172685522,0.3,0.05205212876138443,-0.032804684857870026,0.07184171992728929
2022-05-01,2.3,0.0060221624931653395,0.00435011261132523,0.04545454545454519,7.665622056006231,3.6,0.33,4131.93,-0.03628454810495618,3097.87,-0.002938525909237266,0.28,-0.09105647776218351,-0.04905638368409415,0.08382869633472952
2022-06-01,2.0,0.005986113147091077,0.010113887956106682,-0.13043478260869557,8.19157174501135,3.6,0.83,4101.23,-0.007482787410912017,3105.65,-0.0029279850518657558,0.8,-0.005590343121447461,0.014047961661924457,0.11495277387350523
2022-07-01,3.1,0.0059504928237672505,-0.0002028443282471315,0.55,7.0292358095447804,3.5,1.58,3825.33,0.010553762105785847,3048.14,0.002160068648757063,1.52,-0.07701348132145713,-0.020633361776117742,0.0
2022-08-01,3.1,0.005865126452126779,0.008650811541929704,0.0,7.77400813178937,3.6,2.33,4118.63,-0.0028230463236237346,3141.58,0.003401545227775804,2.28,0.07972122666541193,0.02716082594631475,0.0027631839947236617
2022-09-01,3.1,0.005830927326026414,0.005011873166643532,0.0,7.457016104492701,3.5,2.33,3966.85,0.002996207332490508,3015.76,-0.010554704340322685,2.29,-0.03972923035086917,-0.029809840908078145,0.10291168121756554
2022-10-01,3.2,0.005797124713124324,0.006059864792741454,0.032258064516129004,7.54280806445971,3.6,3.08,3585.62,-0.01506673588849794,2886.14,-0.0005955967394541961,2.98,-0.09610396158160761,-0.04298087380958704,0.0
2022-11-01,3.4,0.005362429164127658,-0.00012157248483113392,0.0625,6.1531667728038,3.6,3.08,3856.1,-0.00410126085362017,2862.59,0.0030203541032318704,3.05,0.052617556946849664,-0.021480343685499004,0.0
2022-12-01,3.7,0.005333826895228322,0.00224383773626613,0.08823529411764719,5.52378593267728,3.5,3.83,4076.57,-0.0008676236670089876,3031.23,0.012330052666557512,3.82,0.05809237312310378,0.04601427378702505,0.2521703404322294
2023-01-01,4.2,0.005305528126613224,0.018781776272980943,0.1351351351351351,6.72567380367208,3.5,4.33,3839.5,-0.0025407348906808513,2987.87,-0.0010965682095516183,4.3,-0.05815428166326109,-0.014304424276613825,0.04568434083975797
2023-02-01,4.6,0.003551909078117088,0.003079804278167453,0.09523809523809512,7.15555662428864,3.6,4.33,4119.21,0.010452337732424155,3124.0,0.006388181059671316,4.31,0.06601745751986066,0.03603218732999358,0.0
2023-03-01,5.3,0.00353933767250747,-0.0011223768488189956,0.15217391304347827,4.69973744794392,3.5,4.58,3951.39,-0.004725262269687613,2997.98,-0.005232683533803351,4.55,-0.036186550333680456,-0.0352912932138284,0.22621674546421933
2023-04-01,5.0,0.003526854941946267,0.006882282713801979,-0.05660377358490565,5.67125424130643,3.4,4.83,4109.31,0.014436547571732294,3090.99,0.006279910147475309,4.87,0.03996568296219816,0.031024222976804294,0.26845341553774266
2023-05-01,5.2,0.006239351434399909,0.0020226732551089643,0.040000000000000036,4.80799823146805,3.6,4.83,4167.87,-0.0003861392787588569,3084.14,-0.010380267544577326,4.81,0.010903113339523873,0.0038104011389330505,0.26864109141843806
2023-06-01,5.0,0.006200663316839661,0.0035178085712448404,-0.03846153846153855,4.699110524830471,3.6,5.08,4221.02,0.009854467765435526,3083.44,0.0024871658988423473,5.08,0.0028695712678179497,-0.002707399793783649,0.07601077020513419
2023-07-01,4.6,0.006162452026616583,0.005783770228523055,-0.08000000000000007,3.2286079381506494,3.5,5.08,4450.38,0.012269017659743087,3084.54,0.004307608154175302,5.09,0.054337577173289686,0.0003567444153282917,0.0
2023-08-01,4.7,0.003924408458324979,0.0032412933343941575,0.021739130434782705,4.20796905702734,3.7,5.33,4576.73,-0.0026650918726683903,3080.11,-0.005745809271411884,5.31,0.029933185055177836,0.006125265909939559,0.1665615768407192
2023-09-01,4.4,0.0039090676800570545,0.005991031959220905,-0.06382978723404253,4.83896756560516,3.8,5.33,4515.77,0.0017991596526802933,3060.59,-0.005255528543012811,5.31,-0.015091561005346588,-0.0010876234939660723,0.1581078567310431
2023-10-01,4.5,0.0038938463710569415,0.0023442961592439193,0.022727272727272707,4.1657629534600495,3.9,5.33,4288.05,-0.002709491359862204,3001.01,3.665566996580161e-05,5.31,-0.0504277232897159,-0.019466834825964896,0.19479436794308272
2023-11-01,4.6,0.0038532044794765685,0.004273840425810915,0.022222222222222143,5.5350638412277515,3.7,5.33,4237.86,0.010505985025513809,2972.25,0.008650178501133476,5.32,-0.022057228936733897,-0.011190862082272046,0.0
2023-12-01,4.4,0.003838414284361935,0.00725288496684251,-0.04347826086956508,4.1879308431933095,3.8,5.33,4594.63,0.005873724769035471,3138.62,0.008236480799748147,5.39,0.07785533264430655,0.047347968710572896,0.3405114911235848
2024-01-01,5.5,0.003823737196885668,0.0009642351697001228,0.25,5.724913884914519,3.7,5.33,4769.83,-0.0028264709879060046,3238.5,-0.0022582821651164764,5.38,0.03813147086925395,0.03182290305930646,0.07316424098244784
2024-02-01,5.4,0.004572434012322546,0.005396586995364716,-0.018181818181818077,4.3017516169104715,3.9,5.33,4906.19,0.012493679898465615,3258.59,0.00459353390737105,5.32,0.021679039729444183,0.005527208248343074,0.0
2024-03-01,5.2,0.004551622020982471,0.007237530070520748,-0.03703703703703709,4.730165921181831,3.9,5.33,5137.08,0.008007817482197588,3208.87,0.00328292223851534,5.31,0.03874289418061694,-0.01848038568828858,0.068133835146733
2024-04-01,5.1,0.004530998627851002,0.0025622404516907338,-0.019230769230769384,4.25132259006098,3.9,5.33,5243.77,-0.0020135697089078697,3213.44,-0.006818111574718011,5.35,0.022828143614660457,0.008298871565379784,0.15901272428323746
2024-05-01,4.9,0.004114869795387666,0.004795111027225074,-0.039215686274509665,2.8072903589305698,4.0,5.33,5018.39,-0.003435477561168243,3170.79,0.0031129881839320195,5.32,-0.03968137427842966,-0.016334520015933163,0.0
2024-06-01,4.8,0.004098007030038264,0.0025485726470124703,-0.020408163265306256,2.49625598911587,4.1,5.33,5277.51,0.008027917211029578,3219.53,0.003922730320086165,5.34,0.05163408981765061,0.015371563553562506,0.2710154754574589
2024-07-01,4.3,0.004081281908087542,0.006015951386251439,-0.10416666666666663,2.636289491486,4.2,5.33,5475.09,0.0026755889592124937,3223.78,-0.004781941610300988,5.4,0.0335162963243365,0.00045092207387087413,0.0
2024-08-01,4.2,0.003959727904792043,0.0019480225306172105,-0.023255813953488302,3.7017422563925497,4.2,5.33,5446.68,-0.013693569708273734,3325.55,0.002680407397803952,5.35,0.008622689307390408,0.02881089900675593,0.07964027537095117
2024-09-01,3.8,0.003944110301173032,0.006988193921125374,-0.09523809523809534,4.146461276568751,4.1,5.33,5648.4,0.010093062182132906,3367.37,-0.0028664070712605128,5.32,0.03703540505408798,0.012575363473711132,0.10105580963775293
